Medicine Name,Uses,Side_effects
Tolkem SR 450 Tablet, Muscle relaxation,Sleepiness Fatigue Dryness in mouth Muscle weakness Nausea Vomiting Abdominal pain
Terbitotal Tablet, Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Trivoglitor Forte 2 Tablet SR,Treatment of Type 2 diabetes mellitus,Nausea Diarrhea Abdominal pain Hypoglycemia low blood glucose level
Telsartan Trio Tablet, Hypertension (high blood pressure),Ankle swelling Dizziness Nausea Peripheral edema Mood changes Visual disturbance
Targocid 200mg Injection, Severe bacterial infections,Injection site reactions pain swelling redness Fever Itching Skin rash
Tropan XL 5 Tablet,Treatment of Overactive bladder (OAB) symptoms,Dryness in mouth Constipation Diarrhea Blurred vision Dry skin Dizziness Headache Sleepiness
Toplap Gel, Local anesthesia (Numb tissues in a specific area),Application site reactions burning irritation itching and redness Rash
Tazloc-CT 80 Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Teneblu Tablet,Treatment of Type 2 diabetes mellitus,Dizziness Headache Diarrhea Hypoglycemia low blood glucose level Nausea Vomiting
Tosti Oral Gel,Treatment of Rheumatoid arthritisTreatment of Osteoarthritis,Reduction in bone density Upset stomach Increased risk of infection Headache Joint pain Injection site reactions pain swelling redness
Taxim 250mg Injection,Treatment of Bacterial infections,Injection site reactions pain swelling redness Hypersensitivity Gastrointestinal disorder
Terabet-GM Skin Cream,Treatment of Skin infections,Application site reactions burning irritation itching and redness Thinning of skin
Telista 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Telsartan-H Tablet,Treatment of Hypertension (high blood pressure),Fatigue Dizziness Nausea Diarrhea Sinus inflammation Flu like symptoms Upper respiratory tract infection
Trazonil 25 Tablet, Depression,Sleepiness Dizziness Constipation Blurred vision
Tynept Tablet, Depression,Increased heart rate Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Difficulty in urination Weight gain Constipation
Telma-AM H 80 Tablet, Hypertension (high blood pressure),Ankle swelling Dizziness Nausea Peripheral edema Mood changes Visual disturbance
Triohale Inhaler, Chronic obstructive pulmonary disease (COPD),Dryness in mouth Cough Headache Dry throat Increased heart rate Blurred vision Glaucoma Difficulty in urination Urinary retention Constipation Nasopharyngitis inflammation of the throat and nasal passages Upper respiratory tract infection Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change Dizziness Insomnia difficulty in sleeping Paresthesia tingling or pricking sensation Taste change
Telma-AM Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Triglycomet Tablet SR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Weight gain Headache Diarrhea Nausea Vomiting Flatulence Anemia low number of red blood cells
Telvas-AM 80/5 Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Thrize Tablet, Pain relief,No common side effects seen
Thrize Plus Tablet, Pain relief,Nausea Vomiting Heartburn Indigestion Diarrhea Loss of appetite Stomach pain
Tronin MS Gel,Treatment of Acne Acute promyelocytic leukaemia,Erythema skin redness Skin irritation Dry skin Dry lips Pale red skin Increased sensitivity to light
Telmed Beta 50 Tablet,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Tacroz Ointment,Treatment of Atopic dermatitis,Application site reactions burning irritation itching and redness Headache Hair follicle inflammation
Telvas-CT 80 Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Trulicity 0.75mg Pre-Filled Pen,Treatment of Type 2 diabetes mellitus,Nausea Diarrhea Vomiting Abdominal pain Loss of appetite
Telpres LN 40 Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
T-Stat 500 Tablet,Treatment of Bleeding,Musculoskeletal bone muscle or joint pain Joint pain Headache Back pain Vomiting Nausea Abdominal pain Fatigue Diarrhea Hypotension low blood pressure Sinus disorder Nasal discomfort Muscle cramp Migraine Anemia low number of red blood cells Allergic dermatitis Lightheadedness Thromboembolism
Tacvido Forte Cream,Treatment of Atopic dermatitis,Application site reactions burning irritation itching and redness Headache Hair follicle inflammation
Tretin-Iso 10 Capsule,Treatment of Acne,Dry skin Increased liver enzymes Rash
Theo-Asthalin Forte Tablet,Treatment of Asthma,Nausea Tremors Headache Palpitations Muscle cramp Throat irritation Respiratory tract infection Respiratory tract inflammation Cough Arrhythmia irregular heartbeats Tachycardia Dizziness Decreased potassium level in blood Nervousness Weakness Irritability Drowsiness Flushing sense of warmth in the face ears neck and trunk Difficulty in urination
Topp D Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Trfy Cream, Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Triactin 4 Tablet,Treatment of Muscular pain,Nausea Vomiting Heartburn Stomach pain Diarrhea Loss of appetite Dryness in mouth
Tenepla M 500mg/20mg Tablet SR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Tazloc 80 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Thyrox 150 Tablet,Treatment of Hypothyroidism,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
Telma-NB Tablet, Hypertension (high blood pressure),Headache Dizziness Weakness Cold extremities Numbness of extremity Increased potassium level in blood Slow heart rate Decreased blood pressure
Topnac-TH Tablet,Treatment of Pain due to muscle spasm,Nausea Vomiting Heartburn Stomach pain epigastric pain Loss of appetite Diarrhea
Triolmighty 40 Tablet, Hypertension (high blood pressure),Headache Dizziness Nausea Upper respiratory tract infection Fatigue Urinary tract infection Diarrhea Joint swelling Peripheral edema Nasopharyngitis inflammation of the throat and nasal passages Muscle spasm
Tryptomer G 100 mg/10 mg Tablet, Neuropathic pain,Constipation Difficulty in urination Weight gain Sleepiness Dizziness Tiredness Uncoordinated body movements Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Blurred vision Dryness in mouth
Tazloc-AM 80 Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Tinfal Plus Solution, Hair loss,Itching Headache Hypertrichosis excessive hair growth Rash Dermatitis
TG Goal 145 Tablet,Treatment of High cholesterolPrevention of Heart attack,Nausea Stomach pain Constipation Flatulence Headache Muscle pain Increased liver enzymes Increased glucose level in blood
Triolmezest CH 40 Tablet, Hypertension (high blood pressure),Ankle swelling Headache Dizziness Tiredness Palpitations Sleepiness Increased blood uric acid Glucose intolerance Taste change Flushing sense of warmth in the face ears neck and trunk Upset stomach Altered blood lipid level
Takchlor-C Eye Ointment,Treatment of Bacterial eye infections,Eye discomfort Eye irritation Burning sensation in eye
Tamsin 0.4mg Tablet PR,Treatment of Benign prostatic hyperplasia,Dizziness Ejaculation disorder Headache Nausea Infection Orthostatic hypotension sudden lowering of blood pressure on standing Abdominal pain
Telsartan 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Tenormin 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Fatigue Slow heart rate Cold extremities Gastrointestinal disturbance
Telday 40 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Tolaz DT 5 Tablet,Treatment of SchizophreniaTreatment of Mania,Dizziness Sleepiness Orthostatic hypotension sudden lowering of blood pressure on standing Dryness in mouth Weight gain Increased prolactin level in blood Constipation Muscle stiffness Restlessness Tremors
Tyrodin -FSR Tablet,Treatment of Bleeding,Musculoskeletal bone muscle or joint pain Joint pain Headache Back pain Vomiting Nausea Abdominal pain Fatigue Diarrhea Hypotension low blood pressure Sinus disorder Nasal discomfort Muscle cramp Migraine Anemia low number of red blood cells Allergic dermatitis Lightheadedness Thromboembolism
Tocin-F Eye Drop,Treatment of Bacterial eye infections,Application site reactions burning irritation itching and redness Blurred vision
Telkonol  40mg Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Torbulk Powder,Treatment of Constipation,Bloating Stomach cramp Flatulence
Thyrox 88 Tablet,Treatment of Hypothyroidism,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
Telsar 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Tendolife Capsule, Arthralgia (joint pain),No common side effects seen
Tegrital 400 Tablet, Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain,Dizziness Nausea Vomiting Constipation Sleepiness Abnormality of voluntary movements
Torget 10 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,Headache Dizziness Dehydration Constipation Decreased blood pressure Upset stomach
Tretiva 5 Capsule,Treatment of Acne,Dry skin Increased liver enzymes Rash
Tel-Revelol 40/50 Tablet ER,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Typbar Vaccine,Prevention of Typhoid fever,Injection site reactions pain swelling redness Feeling of discomfort Nausea Diarrhea Fever Headache
Tegrital CR 400 Divitabs, Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain,Dizziness Nausea Vomiting Constipation Sleepiness Abnormality of voluntary movements
TOR 10 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,Headache Dizziness Dehydration Constipation Decreased blood pressure Upset stomach
Tellzy-MT 50 Tablet ER,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Tranostat Injection,Treatment of Bleeding,Musculoskeletal bone muscle or joint pain Joint pain Headache Back pain Vomiting Nausea Abdominal pain Fatigue Diarrhea Hypotension low blood pressure Sinus disorder Nasal discomfort Muscle cramp Migraine Anemia low number of red blood cells Allergic dermatitis Lightheadedness Thromboembolism
Tentide AF 25mg Tablet, Chronic hepatitis B virus (HBV) infection,Headache Diarrhea Vomiting Nausea Dizziness Rash Fatigue Weakness Abdominal pain Itching Increased transaminase level in blood Cough Back pain Glycosuria Increased creatine phosphokinase C P K level in blood Increased L D L cholesterol level in blood
Tadaflo 20mg Tablet,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH),Flushing sense of warmth in the face ears neck and trunk Headache Blurred vision Muscle pain Upset stomach Back pain Nausea Respiratory tract infection
Topcort Cream,Treatment of Skin conditions with inflammation & itching,Stinging sensation Itching Hair follicle inflammation
Tellzy-MT 25 Tablet ER,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Thyronorm 112mcg Tablet,Treatment of Hypothyroidism,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
Telmed Beta 25 Tablet ER,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Torkast-FX Tablet,Treatment of Sneezing and runny nose due to allergies,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Terbinaforce-M Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
Telma-CT 80/6.25 Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Telmavas-AM Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Torfix Tablet,Treatment of Infectious diarrhea,Headache Nausea Fever Abdominal pain Vomiting Flatulence Constipation Tenesmus increased urge to pass stools
Telmiride Amh Tablet, Hypertension (high blood pressure),Ankle swelling Dizziness Nausea Peripheral edema Mood changes Visual disturbance
Trioday Tablet,Treatment of HIV infection,Headache Dizziness Nausea Insomnia difficulty in sleeping Weakness Depression Diarrhea Rash Pain Fever Decreased white blood cell count neutrophils Peripheral neuropathy tingling and numbness of feet and hand Back pain Abdominal pain Anxiety Vomiting Joint pain Pneumonia Dyspepsia Muscle pain Lipodystrophy skin thickening or pits at the injection site Hypercholesterolemia high cholesterol Increased triglyceride level in blood Elevated creatinine kinase Elevated levels of serum amylase Blood in urine Increased transaminase level in blood Cough Impaired concentration Abnormal dreams
Torvason 10 Tablet, High cholesterolPrevention of Heart attack,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Telista-D Tablet SR, Hypertension (high blood pressure),Nausea Stomach pain Diarrhea Constipation Headache Infection Back pain Dizziness Inflammation of the nose Weakness Chest pain Indigestion Peripheral edema Nervousness Hypertonia increased muscle tone Cough Sore throat Sinus inflammation Conjunctivitis
Theo Tears 0.18% Eye Drop,Treatment of Dry eyes,Limited data available
Trazine-S Tablet, Schizophrenia,Nausea Constipation Dryness in mouth Sedation Weight gain Orthostatic hypotension sudden lowering of blood pressure on standing Urinary retention Increased prolactin level in blood Dizziness Blurred vision Nervousness
Tellzy-H Tablet,Treatment of Hypertension (high blood pressure),Fatigue Dizziness Nausea Diarrhea Sinus inflammation Flu like symptoms Upper respiratory tract infection
Tidilan 20 Tablet,Treatment of Premature LaborTreatment of Peripheral vascular disease,Dizziness Palpitations
Telmiget 40mg Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Texid Tablet,Treatment of Bleeding,Musculoskeletal bone muscle or joint pain Joint pain Headache Back pain Vomiting Nausea Abdominal pain Fatigue Diarrhea Hypotension low blood pressure Sinus disorder Nasal discomfort Muscle cramp Migraine Anemia low number of red blood cells Allergic dermatitis Lightheadedness Thromboembolism
Tamsin D Tablet PR,Treatment of Benign prostatic hyperplasia,Impotence Decreased libido Ejaculation disorder Orthostatic hypotension sudden lowering of blood pressure on standing Breast enlargement in male Breast tenderness in male
Tobaren Eye/Ear Drops, Bacterial eye / ear infectionsTreatment of Bacterial eye infections,Application site reactions burning irritation itching and redness Eye irritation Burning sensation Eye redness Eye itching
Tenolol 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Fatigue Slow heart rate Cold extremities Gastrointestinal disturbance
Thiox OD 8 Capsule SR,Treatment of Pain due to muscle spasm,Nausea Vomiting Heartburn Stomach pain epigastric pain Loss of appetite Diarrhea
Telpres CT 80 Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Telvas CT LS Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Trump D Syrup,Treatment of Dry cough,Nausea Vomiting Loss of appetite Headache
Telma-D Tablet SR, Hypertension (high blood pressure),Nausea Stomach pain Diarrhea Constipation Headache Infection Back pain Dizziness Inflammation of the nose Weakness Chest pain Indigestion Peripheral edema Nervousness Hypertonia increased muscle tone Cough Sore throat Sinus inflammation Conjunctivitis
Tocin Eye Ointment,Treatment of Bacterial eye infections,Eye irritation Burning sensation Eye redness Eye itching
Tolagin 8 Tablet,Treatment of Muscular pain,Nausea Vomiting Heartburn Stomach pain Diarrhea Loss of appetite Dryness in mouth
Teczine CP Tablet,Treatment of Allergic conditions,Sleepiness Fatigue Dryness in mouth Headache Vomiting Nasopharyngitis inflammation of the throat and nasal passages
Teneliglip-M 500 Tablet PR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Teniva-M Forte Tablet ER,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Trofame XR Capsule,Treatment of Overactive bladder (OAB) symptoms,Dryness in mouth Constipation Headache Urinary tract infection Nasopharyngitis inflammation of the throat and nasal passages Influenza Upper abdominal pain
Tolsama 15 Tablet,Treatment of Low levels of sodium in the blood,Frequent urge to urinate Nocturia increased urge to urinate during the night Dryness in mouth Increased thirst Constipation Nausea Increased creatinine level in blood Increased potassium level in blood
TRAVO-Z Eye Drop,Treatment of GlaucomaTreatment of Ocular hypertension,Eye pain Foreign body sensation Eye discomfort Eye itching Ocular hyperemia Decreased vision
Tiomate Transhaler, Chronic obstructive pulmonary disease (COPD),Nausea Diarrhea Dryness in mouth Vomiting Dizziness Nasopharyngitis inflammation of the throat and nasal passages Insomnia difficulty in sleeping
Telpres-MT 50 Tablet PR,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Troyace SP Tablet, Pain relief,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Taloprex 10 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
Tenormin 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Fatigue Slow heart rate Cold extremities Gastrointestinal disturbance
Tide 20 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,Headache Dizziness Dehydration Constipation Decreased blood pressure Upset stomach
Torvate 500 Tablet CR, Epilepsy/SeizuresPrevention of Migraine Bipolar disorder,Headache Dizziness Blurred vision Nausea Vomiting Sleepiness Hair loss Weight gain Tremors Double vision Impaired coordination Weakness Increased appetite Insomnia difficulty in sleeping Abdominal pain Abnormal thoughts Diarrhea Depression Constipation Nystagmus involuntary eye movement Weight loss Bronchitis inflammation of the airways Breathlessness Low blood platelets Hay fever Nervousness Ecchymosis discoloration of the skin resulting from bleeding underneath Flu like symptoms Fever Memory loss Indigestion Infection Peripheral edema
Trazalon 50 Tablet, Depression,Sleepiness Dizziness Constipation Blurred vision
Thyrox 62.5mcg Tablet,Treatment of Hypothyroidism,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
Tenohep Tablet,Treatment of Chronic hepatitis B virus (HBV) infection,Diarrhea Nausea Rash Weakness Vomiting Fatigue Abdominal pain Increased transaminase level in blood Decreased phosphate level in blood Pain Dizziness Depression Insomnia difficulty in sleeping Fever Itching
Torsinex 10 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,Headache Dizziness Dehydration Constipation Decreased blood pressure Upset stomach
Tripin OM 40 Tablet, Hypertension (high blood pressure),Headache Dizziness Nausea Upper respiratory tract infection Fatigue Urinary tract infection Diarrhea Joint swelling Peripheral edema Nasopharyngitis inflammation of the throat and nasal passages Muscle spasm
Tranlok 500 Tablet,Treatment of Bleeding,Musculoskeletal bone muscle or joint pain Joint pain Headache Back pain Vomiting Nausea Abdominal pain Fatigue Diarrhea Hypotension low blood pressure Sinus disorder Nasal discomfort Muscle cramp Migraine Anemia low number of red blood cells Allergic dermatitis Lightheadedness Thromboembolism
Teleact 40 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Tenefit-M Forte Tablet SR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Topisal 6% Lotion,Treatment of EczemaTreatment of Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
Timolet OD BKC free Eye Drop, Glaucoma Ocular hypertension,Burning eyes Stinging in the eyes
Tolmove 450mg Tablet SR, Muscle relaxation,Sleepiness Fatigue Dryness in mouth Muscle weakness Nausea Vomiting Abdominal pain
Telmaxx 25 Tablet ER,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Tenolol 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Fatigue Slow heart rate Cold extremities Gastrointestinal disturbance
Tricinod 10/12.5 Tablet, Hypertension (high blood pressure),Ankle swelling Headache Dizziness Tiredness Palpitations Sleepiness Increased blood uric acid Glucose intolerance Taste change Flushing sense of warmth in the face ears neck and trunk Upset stomach Altered blood lipid level
Tacroz Forte Solution,Treatment of Atopic dermatitis,Application site reactions burning irritation itching and redness Headache Hair follicle inflammation
Telsartan-CT 40 Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Tolvasca 15 Tablet,Treatment of Low levels of sodium in the blood,Frequent urge to urinate Nocturia increased urge to urinate during the night Dryness in mouth Increased thirst Constipation Nausea Increased creatinine level in blood Increased potassium level in blood
Tacvido Forte Oral Gel,Treatment of Oral lichen planus,Burning sensation
Torvate Chrono 300 Tablet CR, Epilepsy,Nausea Vomiting Weight gain Loss of appetite Gum swelling Headache Sleepiness Tremors Hair loss Liver injury
Tacroren 1 Capsule, Prevention of organ rejection in transplant patients,Increased glucose level in blood Kidney damage Insomnia difficulty in sleeping Tremors High blood pressure Infection
Topaz 100 Tablet, Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome,Abdominal pain Diarrhea Dizziness Fatigue Fever Loss of appetite Memory impairment Nausea Nervousness Numbness Psychomotor impairment Sleepiness Speech disorder Taste change Upper respiratory tract infection Visual impairment Weight loss
Tsart-AM Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Temsan-AM Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Thrombotroy QPS Solution,Prevention of Blood clots,Skin rash
Tyza Dusting Powder, Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Teniva 20 Tablet,Treatment of Type 2 diabetes mellitus,Dizziness Headache Diarrhea Hypoglycemia low blood glucose level Nausea Vomiting
Terbinaforce Dusting Powder, Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Tenlison-M 500 Tablet ER,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Tetan 40 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Triben AD Anti-Dandruff Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,Application site reactions burning irritation itching and redness
Tellzy 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Tretiva 30 Capsule,Treatment of Acne,Dry skin Increased liver enzymes Rash
Tryptomer 50mg Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
Telmiduce H 40mg/12.5mg Tablet,Treatment of Hypertension (high blood pressure),Fatigue Dizziness Nausea Diarrhea Sinus inflammation Flu like symptoms Upper respiratory tract infection
Traxol S 1000 mg/500 mg Injection, Bacterial infections,Increased white blood cell count eosinophils Decreased white blood cell count lymphocytes Low blood platelets Rash Diarrhea Increased liver enzymes Injection site reactions pain swelling redness
Tacrotor 0.1% Ointment,Treatment of Atopic dermatitis,Application site reactions burning irritation itching and redness Headache Hair follicle inflammation
Tenebite-M 20/500 Tablet SR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Telista-CH 40/6.25 Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Teneblu-M Tablet PR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Toldin ER 600 Tablet, Pain relief,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Telmed H Tablet,Treatment of Hypertension (high blood pressure),Fatigue Dizziness Nausea Diarrhea Sinus inflammation Flu like symptoms Upper respiratory tract infection
Tears Naturale II Lubricant Eye Drops,Treatment of Dry eyes,Blurred vision Eye pain Eye irritation Eye redness
Takfa 1 Capsule, Prevention of organ rejection in transplant patients,Increased glucose level in blood Kidney damage Insomnia difficulty in sleeping Tremors High blood pressure Infection
Temsan 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
TGR Tablet, High cholesterol,Increased liver enzymes Nausea Vomiting Flatulence Abdominal pain Diarrhea Headache Back pain Increased creatine phosphokinase C P K level in blood Inflammation of the nose
Theolate 250mg/250mg Tablet, Heavy menstrual bleeding,Nausea Stomach pain Diarrhea Headache Nasal congestion stuffy nose Sinus pain Sinus inflammation Rash Tiredness Musculoskeletal bone muscle or joint pain Anemia low number of red blood cells
Tenali M 500 Tablet ER,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Torfix 550 Tablet,Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea,Dizziness Nausea Peripheral edema Ascites accumulation of fluid in the abdominal cavity Fatigue Depression Nasopharyngitis inflammation of the throat and nasal passages Joint pain Rash Muscle pain
Tazloc-H 80 Tablet,Treatment of Hypertension (high blood pressure),Fatigue Dizziness Nausea Diarrhea Sinus inflammation Flu like symptoms Upper respiratory tract infection
Tenglyn M 1000 Tablet SR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Tgkem 50mg Injection, Severe bacterial infections,Headache Vomiting Nausea Increased liver enzymes Stomach pain Diarrhea
Telmaxx 50 Tablet ER,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
